OBJECTID,rainfall_mean,rainfall_median,rainfall_max,rainfall_min,FORMAL_EN,NAME_EN,Country Code,Maize_rainfall_mean,Rice_rainfall_mean,Sorghum_rainfall_mean,Wheat_rainfall_mean
111,422.0609302,314.9,1255.6,20.5,Republic of Chad,Chad,39,314.9,314.9,314.9,314.9
112,237.0875,232.2,302.4,185.9,State of Kuwait,Kuwait,118,232.2,232.2,232.2,232.2
113,1417.2625,1388.1,1664.4,1051.8,Republic of El Salvador,El Salvador,60,1388.1,1388.1,1388.1,1388.1
114,1798.351282,1836.2,2522.7,1051.8,Republic of Guatemala,Guatemala,89,1836.2,1836.2,1836.2,1836.2
115,1311.283333,1302.5,1456.5,1245.9,Democratic Republic of Timor-Leste,East Timor,176,1302.5,1302.5,1302.5,1302.5
116,3917.9,3917.9,3917.9,3917.9,Negara Brunei Darussalam,Brunei,,3917.9,3917.9,3917.9,3917.9
118,126.3621053,59.4,987.7,9.1,People's Democratic Republic of Algeria,Algeria,4,59.4,59.4,59.4,59.4
119,1061.214662,1100.8,1677.7,208.4,Republic of Mozambique,Mozambique,144,1100.8,1100.8,1100.8,1100.8
120,753.68,767.3,767.3,699.2,Kingdom of eSwatini,eSwatini,209,767.3,767.3,767.3,767.3
121,1347.15,1294.2,1511.6,1205.5,Republic of Burundi,Burundi,29,1294.2,1294.2,1294.2,1294.2
122,1394.01,1358.55,1772.9,1149.5,Republic of Rwanda,Rwanda,184,1358.55,1358.55,1358.55,1358.55
123,2268.012121,1939.2,5180.1,904.3,Republic of the Union of Myanmar,Myanmar,28,1939.2,1939.2,1939.2,1939.2
124,1902.868085,1687.8,3503.6,1122.8,People's Republic of Bangladesh,Bangladesh,16,1687.8,1687.8,1687.8,1687.8
126,518.4256917,430.4,1558.7,4.3,Islamic State of Afghanistan,Afghanistan,2,430.4,430.4,430.4,430.4
127,1585.733333,1683.5,1905.2,1169.6,Montenegro,Montenegro,273,1683.5,1683.5,1683.5,1683.5
128,1172.1,1176,1905.2,877.3,Bosnia and Herzegovina,Bosnia and Herzegovina,80,1176,1176,1176,1176
129,1330.879268,1309.3,1929,684.8,Republic of Uganda,Uganda,226,1309.3,1309.3,1309.3,1309.3
131,1353.125641,1394.7,1781.1,526.4,Republic of Cuba,Cuba,49,1394.7,1394.7,1394.7,1394.7
132,1579.705714,1405.1,2740.3,1154.3,Republic of Honduras,Honduras,95,1405.1,1405.1,1405.1,1405.1
133,1868.494118,1530.6,4429.1,195.9,Republic of Ecuador,Ecuador,58,1530.6,1530.6,1530.6,1530.6
134,2695.827419,2689.1,7257.5,211.9,Republic of Colombia,Colombia,44,2689.1,2689.1,2689.1,2689.1
135,1292.284507,1358.1,1973.6,722.1,Republic of Paraguay,Paraguay,169,1358.1,1358.1,1358.1,1358.1
136,953.6731707,846,1696.8,592.9,Portuguese Republic,Portugal,174,846,846,846,846
137,613.64,576.4,692.3,464.8,Republic of Moldova,Moldova,146,576.4,576.4,576.4,576.4
138,132.1773196,114.9,419.2,44.9,Turkmenistan,Turkmenistan,213,114.9,114.9,114.9,114.9
139,145.3181818,108.8,578.1,55.9,Hashemite Kingdom of Jordan,Jordan,112,108.8,108.8,108.8,108.8
140,1413.496226,1524.1,1826.8,331.1,Nepal,Nepal,149,1524.1,1524.1,1524.1,1524.1
141,593.875,586.3,757.6,507,Kingdom of Lesotho,Lesotho,122,586.3,586.3,586.3,586.3
142,1724.196667,1735.1,2836.2,587.6,Republic of Cameroon,Cameroon,32,1735.1,1735.1,1735.1,1735.1
143,1977.489286,1975.25,3533,1405.1,Gabonese Republic,Gabon,74,1975.25,1975.25,1975.25,1975.25
144,219.419802,162.3,838.6,17.4,Republic of Niger,Niger,158,162.3,162.3,162.3,162.3
145,939.7709302,877.7,1628.7,469.5,Burkina Faso,Burkina Faso,233,877.7,877.7,877.7,877.7
