OBJECTID,temperature_mean,temperature_median,temperature_max,temperature_min,FORMAL_EN,NAME_EN,Country Code,temperature_mean_Maize,temperature_mean_Rice,temperature_mean_Sorghum,temperature_mean_Wheat
122,20.071,20.1,21.92,17.83,Republic of Rwanda,Rwanda,184,20.1,20.1,20.1,20.1
123,24.73030303,26.03,33.1,6.96,Republic of the Union of Myanmar,Myanmar,28,26.03,26.03,26.03,26.03
124,25.7587234,26.02,27.05,22.9,People's Republic of Bangladesh,Bangladesh,16,26.02,26.02,26.02,26.02
126,12.99296443,13.87,26.8,-11.47,Islamic State of Afghanistan,Afghanistan,2,13.87,13.87,13.87,13.87
127,10.59333333,9.22,17.3,7.99,Montenegro,Montenegro,273,9.22,9.22,9.22,9.22
128,11.12791667,10.68,15.13,8.95,Bosnia and Herzegovina,Bosnia and Herzegovina,80,10.68,10.68,10.68,10.68
129,24.7512987,24.7,27.85,15.91,Republic of Uganda,Uganda,226,24.7,24.7,24.7,24.7
131,25.60717949,25.49,27.1,24.27,Republic of Cuba,Cuba,49,25.49,25.49,25.49,25.49
132,23.10885714,22.76,26.75,20.29,Republic of Honduras,Honduras,95,22.76,22.76,22.76,22.76
133,23.00588235,24.95,30.2,10.09,Republic of Ecuador,Ecuador,58,24.95,24.95,24.95,24.95
134,27.20653226,27,54.23,7.27,Republic of Colombia,Colombia,44,27,27,27,27
135,24.11176056,24.435,27.17,21.73,Republic of Paraguay,Paraguay,169,24.435,24.435,24.435,24.435
136,16.14292683,16.73,23.78,11.62,Portuguese Republic,Portugal,174,16.73,16.73,16.73,16.73
137,11.686,11.58,12.25,10.99,Republic of Moldova,Moldova,146,11.58,11.58,11.58,11.58
138,17.09757732,17.34,19.82,9.74,Turkmenistan,Turkmenistan,213,17.34,17.34,17.34,17.34
139,19.81333333,19.54,23.01,17.8,Hashemite Kingdom of Jordan,Jordan,112,19.54,19.54,19.54,19.54
140,13.10679245,14.52,28,-8.4,Nepal,Nepal,149,14.52,14.52,14.52,14.52
141,10.635,10.39,13.42,8.72,Kingdom of Lesotho,Lesotho,122,10.39,10.39,10.39,10.39
142,25.03406667,24.475,29.86,19.67,Republic of Cameroon,Cameroon,32,24.475,24.475,24.475,24.475
143,25.51178571,25.22,27.61,23.27,Gabonese Republic,Gabon,74,25.22,25.22,25.22,25.22
144,28.56188119,28.71,31.05,23.97,Republic of Niger,Niger,158,28.71,28.71,28.71,28.71
145,28.9605814,29.035,30.55,27.19,Burkina Faso,Burkina Faso,233,29.035,29.035,29.035,29.035
146,27.38166667,27.3,28.9,26.04,Togolese Republic,Togo,217,27.3,27.3,27.3,27.3
147,27.64246753,27.72,28.8,26.45,Republic of Ghana,Ghana,81,27.72,27.72,27.72,27.72
148,27.63545455,27.63,28.18,27.21,Republic of Guinea-Bissau,Guinea-Bissau,175,27.63,27.63,27.63,27.63
150,8.186168393,8.45,25.81,-14.6,United States of America,United States of America,231,7.46,18.7,16.73,5.11
151,-5.96466933,-5.25,11.2,-23.82,Canada,Canada,33,3.47,-5.25,-5.25,-3.9
152,21.74832386,22.04,35.3,9.39,United Mexican States,Mexico,138,22.04,22.04,22.04,22.04
153,25.72833333,25.925,27.58,22.74,Belize,Belize,23,25.925,25.925,25.925,25.925
154,25.92541667,26.135,28.07,20.5,Republic of Panama,Panama,166,26.135,26.135,26.135,26.135
155,24.62155932,25.22,28.76,10.47,Bolivarian Republic of Venezuela,Venezuela,236,25.22,25.22,25.22,25.22
156,27.97583893,28.44,36.65,17.9,Independent State of Papua New Guinea,Papua New Guinea,168,28.44,28.44,28.44,28.44
157,24.56889197,24.18,29.85,20.36,Arab Republic of Egypt,Egypt,59,24.18,24.18,24.18,24.18
158,25.37384615,24.455,37.71,17.97,Republic of Yemen,Yemen,249,24.455,24.455,24.455,24.455
159,28.21304469,28.29,32.9,21.45,Islamic Republic of Mauritania,Mauritania,136,28.29,28.29,28.29,28.29
160,25.65333333,25.33,27.61,24.26,Republic of Equatorial Guinea,Equatorial Guinea,61,25.33,25.33,25.33,25.33
161,27.72666667,27.3,28.99,26.89,Republic of the Gambia,The Gambia,75,27.3,27.3,27.3,27.3
162,23.82,23.82,23.82,23.82,"Hong Kong Special Administrative Region, PRC",Hong Kong,96,23.82,23.82,23.82,23.82
164,22.16661516,22.58,29.06,8.72,Commonwealth of Australia,Australia,10,24.7,16.15,20.28,16.9
165,-15.33711262,-16.625,1.38,-24.6,Greenland,Greenland,85,-16.625,-16.625,-16.625,-16.625
166,24.1975,24.125,25.11,23.43,Republic of Fiji,Fiji,66,24.125,24.125,24.125,24.125
167,21.73833333,21.36,23.75,20.87,New Caledonia,New Caledonia,153,21.36,21.36,21.36,21.36
168,20.84241206,21.15,27.6,12.85,Republic of Madagascar,Madagascar,129,21.15,21.15,21.15,21.15
169,25.759,26.175,29.18,19.13,Republic of the Philippines,Philippines,171,26.175,26.175,26.175,26.175
170,29.03772727,29.565,30.62,24.84,Democratic Socialist Republic of Sri Lanka,Sri Lanka,38,29.565,29.565,29.565,29.565
173,26.345,26.305,26.67,26.1,Commonwealth of the Bahamas,The Bahamas,12,26.305,26.305,26.305,26.305
175,12.5158125,12.905,23.37,2.69,Japan,Japan,110,12.905,12.905,12.905,12.905
177,2.549324324,2.745,5.53,-1.7,Republic of Iceland,Iceland,99,2.745,2.745,2.745,2.745
184,26.735,26.735,27.04,26.43,Republic of Trinidad and Tobago,Trinidad and Tobago,220,26.735,26.735,26.735,26.735
186,26.41,26.41,26.41,26.41,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,191,26.41,26.41,26.41,26.41
193,27.83,27.83,27.83,27.83,Virgin Islands of the United States,United States Virgin Islands,240,27.83,27.83,27.83,27.83
195,25.73,25.25,27.25,24.69,Commonwealth of Puerto Rico,Puerto Rico,177,25.25,25.25,25.25,25.25
198,28.148,27.8,29.84,26.5,Jamaica,Jamaica,109,27.8,27.8,27.8,27.8
203,23.13,23.13,23.13,23.13,Republic of Mauritius,Mauritius,137,23.13,23.13,23.13,23.13
204,24.21,24.21,24.21,24.21,Union of the Comoros,Comoros,45,24.21,24.21,24.21,24.21
205,25.85,25.85,25.85,25.85,Democratic Republic of São Tomé and Principe,São Tomé and Príncipe,,25.85,25.85,25.85,25.85
206,24.27,24.27,24.27,24.27,Republic of Cabo Verde,Cape Verde,35,24.27,24.27,24.27,24.27
211,5.09,5.09,5.09,5.09,Føroyar Is. (Faeroe Is.),Faroe Islands,64,5.09,5.09,5.09,5.09
219,26.02363636,26.24,26.72,24.45,,Solomon Islands,25,26.24,26.24,26.24,26.24
224,1.22,1.38,1.43,0.85,South Georgia and the Islands,South Georgia and the South Sandwich Islands,,1.38,1.38,1.38,1.38
225,6.911666667,6.935,7.28,6.5,Falkland Islands,Falkland Islands,65,6.935,6.935,6.935,6.935
226,24.095,24.1,24.38,23.8,Republic of Vanuatu,Vanuatu,155,24.1,24.1,24.1,24.1
238,11.58470588,11.66,12.14,10.82,Kingdom of the Netherlands,Netherlands,150,11.66,11.66,11.66,11.66
251,11.16131148,11.525,16.41,3.82,New Zealand,New Zealand,156,11.525,11.525,11.525,11.525
