,Cellulose_2030,Hemicellulose_2030,Lignin_2030,Cellulose_2040,Hemicellulose_2040,Lignin_2040,Country Code
39,2056490.711596386,1423724.338797498,1740107.525196942,2043845.293782196,1414969.8187722897,1729407.556277243,39.0
40,7490293.884580274,5185588.07394019,6337940.979260231,7477648.4667660855,5176833.553914982,6327241.010340534,40.0
41,31644991.60480009,21908071.111015446,26776531.35790777,31632346.186985902,21899316.59099024,26765831.388988074,351.0
42,1558770.595289596,1079148.873662028,1318959.734475812,1571416.013103783,1087903.3936872343,1329659.7033955085,96.0
43,140412.36013853748,97208.55701898749,118810.45857876248,153057.77795272446,105963.07704419385,129510.42749845915,128.0
44,11562519.635399034,8004821.286045485,9783670.46072226,11549874.21758485,7996066.766020281,9772970.491802566,44.0
45,523772.5533038373,362611.7676718874,443192.16048786236,536417.9711180243,371366.28769709374,453892.129407559,45.0
46,541547.7055067297,374917.6422738898,458232.6738903097,528902.2876925427,366163.1222486834,447532.70497061306,46.0
47,1402719.5639522928,971113.5442746643,1186916.5541134784,1390074.1461381044,962359.0242494568,1176216.5851937805,47.0
48,736858.3607835831,510132.71131171146,623495.5360476474,724212.9429693962,501378.1912865051,612795.5671279506,48.0
49,183123.5193778011,126777.82110770846,154950.67024275477,170478.10156361412,118023.3010825021,144250.7013230581,107.0
50,431696.4700509775,298866.786958369,365281.62850467325,419051.0522367898,290112.2669331622,354581.659584976,98.0
51,33797.22029032222,23398.075585607694,28597.647937964957,21151.80247613526,14643.555560401335,17897.679018268296,49.0
52,1295344.4163237126,896776.9036087241,1096060.6599662185,1307989.8341378996,905531.4236339305,1106760.628885915,50.0
53,136694.06226694415,94634.35080019211,115664.20653356814,149339.48008113186,103388.87082539898,126364.17545326542,167.0
54,858807.7094002642,594559.1834309521,726683.4464156082,846162.2915860779,585804.6634057462,715983.4774959121,116.0
55,6608102.185911345,4574839.9748617,5591471.080386522,6595456.768097158,4566085.454836494,5580771.111466826,250.0
56,613176.7737158285,424506.9971878813,518841.88545185496,625822.1915300149,433261.5172130872,529541.854371551,54.0
57,1820874.4933808197,1260605.4184944138,1540739.9559376168,1833519.911195008,1269359.938519621,1551439.9248573147,72.0
