,Cellulose_2030,Hemicellulose_2030,Lignin_2030,Cellulose_2040,Hemicellulose_2040,Lignin_2040,Country Code
24,19068316.07369532,13548540.368151939,18064720.49086925,19068316.07369532,13548540.368151939,18064720.49086925,19.0
25,290787.9483089956,206612.48958797054,275483.3194506274,290787.9483089956,206612.48958797054,275483.3194506274,80.0
26,2392533.5941918525,1699958.0800836845,2266610.7734449124,2392533.5941918525,1699958.0800836845,2266610.7734449124,20.0
27,15563968.10541937,11058608.9170085,14744811.889344664,15563968.10541937,11058608.9170085,14744811.889344664,21.0
28,91698.68574130343,65154.32934250507,86872.4391233401,91698.68574130343,65154.32934250507,86872.4391233401,239.0
29,1419532.4605833078,1008615.1693618239,1344820.225815765,1419532.4605833078,1008615.1693618239,1344820.225815765,26.0
30,4032274.6144933226,2865037.226087361,3820049.6347831474,4032274.6144933226,2865037.226087361,3820049.6347831474,27.0
31,881904.8543340724,626616.607026841,835488.8093691213,881904.8543340724,626616.607026841,835488.8093691213,233.0
32,1374550.488716851,976654.2946146048,1302205.726152806,1374550.488716851,976654.2946146048,1302205.726152806,29.0
33,647071.0897557444,459761.03745802894,613014.7166107052,647071.0897557444,459761.03745802894,613014.7166107052,35.0
34,2146220.434352026,1524946.0980922289,2033261.4641229715,2146220.434352026,1524946.0980922289,2033261.4641229715,115.0
35,2516431.520186037,1787990.8169742895,2383987.755965719,2516431.520186037,1787990.8169742895,2383987.755965719,32.0
36,34848573.14627738,24760828.288144458,33014437.71752594,34848573.14627738,24760828.288144458,33014437.71752594,33.0
37,1659520.406483349,1179132.9203960637,1572177.2271947516,1659520.406483349,1179132.9203960637,1572177.2271947516,36.0
38,1330827.9195163662,945588.2586037338,1260784.3448049782,1330827.9195163662,945588.2586037338,1260784.3448049782,37.0
39,7281804.29460732,5173913.577747307,6898551.436996408,7281804.29460732,5173913.577747307,6898551.436996408,39.0
40,11800235.31463171,8384377.72355411,11179170.298072144,11800235.31463171,8384377.72355411,11179170.298072144,40.0
41,42612586.74372529,30277364.2652785,40369819.02037133,42612586.74372529,30277364.2652785,40369819.02037133,351.0
42,604588.7173285839,429576.1938913623,572768.2585218163,604588.7173285839,429576.1938913623,572768.2585218163,96.0
43,12594.734719654794,8948.890458702092,11931.85394493612,12594.734719654794,8948.890458702092,11931.85394493612,128.0
44,1911866.9471198285,1358431.7782167203,1811242.370955627,1911866.9471198285,1358431.7782167203,1811242.370955627,44.0
45,857228.593224075,609083.4741328955,812111.2988438605,857228.593224075,609083.4741328955,812111.2988438605,45.0
46,67119.02943432379,47689.83670333533,63586.44893778043,67119.02943432379,47689.83670333533,63586.44893778043,46.0
47,5467477.443716928,3884786.604746239,5179715.472994985,5467477.443716928,3884786.604746239,5179715.472994985,47.0
48,461659.42853009223,328021.1729029603,437361.5638706137,461659.42853009223,328021.1729029603,437361.5638706137,48.0
49,1618827.2866848072,1150219.387907626,1533625.8505435016,1618827.2866848072,1150219.387907626,1533625.8505435016,107.0
50,980481.8358578152,696658.146530553,928877.5287074038,980481.8358578152,696658.146530553,928877.5287074038,98.0
51,4226096.013169239,3002752.430409723,4003669.9072129633,4226096.013169239,3002752.430409723,4003669.9072129633,49.0
52,507329.7791094388,360471.1588409171,480628.2117878894,507329.7791094388,360471.1588409171,480628.2117878894,50.0
53,1546716.2079656012,1098982.568817664,1465310.0917568852,1546716.2079656012,1098982.568817664,1465310.0917568852,167.0
54,5008952.376414438,3558992.47797868,4745323.303971573,5008952.376414438,3558992.47797868,4745323.303971573,116.0
55,6421194.958543576,4562427.99685991,6083237.329146545,6421194.958543576,4562427.99685991,6083237.329146545,250.0
56,310074.92048019223,220316.390867505,293755.18782333995,310074.92048019223,220316.390867505,293755.18782333995,54.0
57,749196.3200215757,532323.7010679618,709764.9347572823,749196.3200215757,532323.7010679618,709764.9347572823,72.0
58,368044.82707256696,261505.53502524496,348674.0467003266,368044.82707256696,261505.53502524496,348674.0467003266,55.0
59,261242.09066885154,185619.38021207874,247492.50694943828,261242.09066885154,185619.38021207874,247492.50694943828,56.0
60,2914059.933820019,2070516.2687668556,2760688.358355807,2914059.933820019,2070516.2687668556,2760688.358355807,58.0
61,6033456.758055782,4286929.801776477,5715906.402368635,6033456.758055782,4286929.801776477,5715906.402368635,59.0
62,48080.91482806212,34162.75527257046,45550.340363427276,48080.91482806212,34162.75527257046,45550.340363427276,60.0
63,868575.4848719733,617145.739251139,822860.9856681853,868575.4848719733,617145.739251139,822860.9856681853,61.0
64,3515901.684997186,2498140.6709190533,3330854.227892071,3515901.684997186,2498140.6709190533,3330854.227892071,178.0
65,265132.1058785646,188383.33838740116,251177.78451653486,265132.1058785646,188383.33838740116,251177.78451653486,63.0
66,1373035.3598706897,975577.7556975954,1300770.340930127,1373035.3598706897,975577.7556975954,1300770.340930127,209.0
67,6476901.241527082,4602008.776874506,6136011.702499341,6476901.241527082,4602008.776874506,6136011.702499341,238.0
68,900372.9255241721,639738.6576092803,852984.8768123736,900372.9255241721,639738.6576092803,852984.8768123736,65.0
69,1903875.984733985,1352753.9891530948,1803671.9855374596,1903875.984733985,1352753.9891530948,1803671.9855374596,64.0
70,987947.034282477,701962.3664638653,935949.8219518203,987947.034282477,701962.3664638653,935949.8219518203,66.0
71,4267344.286812563,3032060.41431419,4042747.2190855863,4267344.286812563,3032060.41431419,4042747.2190855863,67.0
72,6567241.857885501,4666198.162181804,6221597.549575738,6567241.857885501,4666198.162181804,6221597.549575738,68.0
73,5513098.275369064,3917201.406183283,5222935.208244376,5513098.275369064,3917201.406183283,5222935.208244376,70.0
74,711034.1610457479,505208.48284829454,673611.3104643926,711034.1610457479,505208.48284829454,673611.3104643926,74.0
75,1126421.826663108,800352.3505237873,1067136.4673650498,1126421.826663108,800352.3505237873,1067136.4673650498,75.0
76,3437584.8365682205,2442494.489140578,3256659.318854104,3437584.8365682205,2442494.489140578,3256659.318854104,73.0
77,2998143.1342054186,2130259.5953564816,2840346.1271419753,2998143.1342054186,2130259.5953564816,2840346.1271419753,79.0
78,934144.4996235411,663734.2497325161,884978.9996433547,934144.4996235411,663734.2497325161,884978.9996433547,81.0
79,2796327.1396567198,1986864.0202824064,2649152.027043208,2796327.1396567198,1986864.0202824064,2649152.027043208,82.0
80,2635066.499408925,1872284.091685289,2496378.7889137184,2635066.499408925,1872284.091685289,2496378.7889137184,84.0
81,6456201.134841338,4587300.806334635,6116401.075112846,6456201.134841338,4587300.806334635,6116401.075112846,85.0
82,633956.8959023939,450443.05761485884,600590.7434864783,633956.8959023939,450443.05761485884,600590.7434864783,86.0
83,2176618.4881793032,1546544.7152852945,2062059.6203803925,2176618.4881793032,1546544.7152852945,2062059.6203803925,88.0
84,1270521.3817888421,902738.8765341773,1203651.835378903,1270521.3817888421,902738.8765341773,1203651.835378903,89.0
85,422624.34175739845,300285.71651183575,400380.9553491143,422624.34175739845,300285.71651183575,400380.9553491143,90.0
86,3514257.5344439344,2496972.4586838484,3329296.611578464,3514257.5344439344,2496972.4586838484,3329296.611578464,175.0
87,1890108.5049505113,1342971.832464837,1790629.109953116,1890108.5049505113,1342971.832464837,1790629.109953116,91.0
88,1153737.7503714857,819761.0331586873,1093014.7108782497,1153737.7503714857,819761.0331586873,1093014.7108782497,93.0
