,Cellulose_2030,Hemicellulose_2030,Lignin_2030,Cellulose_2040,Hemicellulose_2040,Lignin_2040,Country Code
67,2717393.280570954,1391835.5827314644,2319725.971219107,2717393.280570954,1391835.5827314644,2319725.971219107,238.0
68,10451177.033695664,5353041.895307535,8921736.492179226,10451177.033695664,5353041.895307535,8921736.492179226,65.0
69,33646694.65948578,17233672.874370765,28722788.123951275,33646694.65948578,17233672.874370765,28722788.123951275,64.0
70,42415000.18608363,21724756.192872103,36207926.988120176,42415000.18608363,21724756.192872103,36207926.988120176,66.0
71,7504974.56168057,3844011.36086078,6406685.601434633,7504974.56168057,3844011.36086078,6406685.601434633,67.0
72,12266559.187140476,6282871.778779268,10471452.964632114,12266559.187140476,6282871.778779268,10471452.964632114,68.0
73,45430961.21088734,23269516.717771564,38782527.862952605,45430961.21088734,23269516.717771564,38782527.862952605,70.0
74,24424403.086573154,12510060.11751308,20850100.19585513,24424403.086573154,12510060.11751308,20850100.19585513,74.0
75,11649030.702264829,5966576.701160034,9944294.50193339,11649030.702264829,5966576.701160034,9944294.50193339,75.0
76,10981832.082315167,5624840.822649232,9374734.704415387,10981832.082315167,5624840.822649232,9374734.704415387,73.0
77,6883948.2146481685,3525924.6953075984,5876541.158845997,6883948.2146481685,3525924.6953075984,5876541.158845997,79.0
78,14300648.621125795,7324722.464479066,12207870.774131777,14300648.621125795,7324722.464479066,12207870.774131777,81.0
79,6094426.659858139,3121535.606268803,5202559.343781339,6094426.659858139,3121535.606268803,5202559.343781339,82.0
80,7036216.29946623,3603915.6655802643,6006526.10930044,7036216.29946623,3603915.6655802643,6006526.10930044,84.0
81,3091727.376434086,1583567.6806125806,2639279.4676876343,3091727.376434086,1583567.6806125806,2639279.4676876343,85.0
82,30719764.835315295,15734513.696137102,26224189.493561834,30719764.835315295,15734513.696137102,26224189.493561834,86.0
83,17792002.402939398,9112976.840529935,15188294.73421656,17792002.402939398,9112976.840529935,15188294.73421656,88.0
84,18609049.493972886,9531464.37496172,15885773.958269535,18609049.493972886,9531464.37496172,15885773.958269535,89.0
85,19269693.31668013,9869842.918299578,16449738.197165962,19269693.31668013,9869842.918299578,16449738.197165962,90.0
86,17514430.97527107,8970806.109285183,14951343.515475303,17514430.97527107,8970806.109285183,14951343.515475303,175.0
87,22143134.126114402,11341605.284107378,18902675.473512296,22143134.126114402,11341605.284107378,18902675.473512296,91.0
88,12109035.336784774,6202188.831036104,10336981.385060173,12109035.336784774,6202188.831036104,10336981.385060173,93.0
89,10450082.566397386,5352481.314496222,8920802.190827036,10450082.566397386,5352481.314496222,8920802.190827036,94.0
90,20414295.46089497,10456102.553141326,17426837.588568874,20414295.46089497,10456102.553141326,17426837.588568874,95.0
91,9116331.26420153,4669340.403615417,7782234.006025695,9116331.26420153,4669340.403615417,7782234.006025695,97.0
92,3740488.085221775,1915859.7509672507,3193099.5849454175,3740488.085221775,1915859.7509672507,3193099.5849454175,99.0
93,2411528.6751016746,1235173.223832565,2058622.0397209416,2411528.6751016746,1235173.223832565,2058622.0397209416,100.0
94,19097521.93570225,9781657.576823102,16302762.628038505,19097521.93570225,9781657.576823102,16302762.628038505,101.0
95,1329917.3835363726,681177.1964454592,1135295.3274090986,1329917.3835363726,681177.1964454592,1135295.3274090986,102.0
96,2377643.690269051,1217817.4998939044,2029695.8331565072,2377643.690269051,1217817.4998939044,2029695.8331565072,103.0
97,16041936.43399124,8216601.588141855,13694335.980236424,16041936.43399124,8216601.588141855,13694335.980236424,104.0
98,20128836.44957816,10309891.840027837,17183153.06671306,20128836.44957816,10309891.840027837,17183153.06671306,264.0
99,2123761.26266278,1087780.1589248385,1812966.9315413977,2123761.26266278,1087780.1589248385,1812966.9315413977,105.0
100,6287296.372275416,3220322.5321410666,5367204.220235111,6287296.372275416,3220322.5321410666,5367204.220235111,106.0
101,20416586.518624034,10457276.021734262,17428793.3695571,20416586.518624034,10457276.021734262,17428793.3695571,109.0
102,20338236.226328857,10417145.38421722,17361908.973695368,20338236.226328857,10417145.38421722,17361908.973695368,110.0
103,1248438.4749330776,639444.0969169423,1065740.161528237,1248438.4749330776,639444.0969169423,1065740.161528237,112.0
104,3360153.838004748,1721054.4048317003,2868424.008052834,3360153.838004748,1721054.4048317003,2868424.008052834,108.0
105,6545474.921807618,3352560.325803902,5587600.543006503,6545474.921807618,3352560.325803902,5587600.543006503,114.0
106,19005435.743897,9734491.47858139,16224152.464302316,19005435.743897,9734491.47858139,16224152.464302316,83.0
107,3008806.5517541077,1541096.0387033236,2568493.3978388724,3008806.5517541077,1541096.0387033236,2568493.3978388724,118.0
108,5443495.141404437,2788131.6577925165,4646886.09632086,5443495.141404437,2788131.6577925165,4646886.09632086,113.0
109,21291201.4913744,10905249.544362498,18175415.90727083,21291201.4913744,10905249.544362498,18175415.90727083,120.0
110,4686931.738446346,2400623.5733505674,4001039.2889176123,4686931.738446346,2400623.5733505674,4001039.2889176123,119.0
111,12744647.666042043,6527746.36553373,10879577.27588955,12744647.666042043,6527746.36553373,10879577.27588955,121.0
112,9537508.548619518,4885065.3541709725,8141775.590284954,9537508.548619518,4885065.3541709725,8141775.590284954,122.0
113,27600458.37803819,14136820.14484883,23561366.908081383,27600458.37803819,14136820.14484883,23561366.908081383,123.0
114,447978.8601435833,229452.58690281096,382420.9781713516,447978.8601435833,229452.58690281096,382420.9781713516,124.0
115,11542806.469740815,5912169.1674282225,9853615.279047037,11542806.469740815,5912169.1674282225,9853615.279047037,125.0
116,5027602.464868576,2575113.457615612,4291855.762692687,5027602.464868576,2575113.457615612,4291855.762692687,126.0
117,14786377.973417256,7573510.669311278,12622517.782185463,14786377.973417256,7573510.669311278,12622517.782185463,256.0
118,3687960.038243472,1888955.1415393394,3148258.5692322324,3687960.038243472,1888955.1415393394,3148258.5692322324,129.0
