Country Code,Barley_Cellulose_2030,Barley_Hemicellulose_2030,Barley_Lignin_2030,Barley_Cellulose_2040,Barley_Hemicellulose_2040,Barley_Lignin_2040,Maize_Cellulose_2030,Maize_Hemicellulose_2030,Maize_Lignin_2030,Maize_Cellulose_2040,Maize_Hemicellulose_2040,Maize_Lignin_2040,Rice_Cellulose_2030,Rice_Hemicellulose_2030,Rice_Lignin_2030,Rice_Cellulose_2040,Rice_Hemicellulose_2040,Rice_Lignin_2040,Sorghum_Cellulose_2030,Sorghum_Hemicellulose_2030,Sorghum_Lignin_2030,Sorghum_Cellulose_2040,Sorghum_Hemicellulose_2040,Sorghum_Lignin_2040,Wheat_Cellulose_2030,Wheat_Hemicellulose_2030,Wheat_Lignin_2030,Wheat_Cellulose_2040,Wheat_Hemicellulose_2040,Wheat_Lignin_2040,Protein-2030,Protein-2040
19,1954527.382,1001099.391,1668498.984,1954527.382,1001099.391,1668498.984,3669747.678,2540594.546,3105171.112,3657102.26,2531840.026,3094471.143,18669182.76,12446121.84,21262124.81,18672748.8,12448499.2,21266186.13,537065.4777,429652.3822,2613718.658,537038.7922,429631.0338,2613588.789,19068316.07,13548540.37,18064720.49,19068316.07,13548540.37,18064720.49,16398755.15,16661541.73
80,16112031.88,8252504.133,13754173.55,16112031.88,8252504.133,13754173.55,768600.7449,532108.208,650354.4764,755955.3271,523353.688,639654.5075,1821217.567,1214145.045,2074164.452,1817651.53,1211767.687,2070103.131,115769.9853,92615.98826,563413.9286,115743.2998,92594.63985,563284.0591,290787.9483,206612.4896,275483.3195,290787.9483,206612.4896,275483.3195,6354461.786,8539947.697
20,3340911.823,1711198.739,2851997.898,3340911.823,1711198.739,2851997.898,311506.2353,215658.1629,263582.1991,298860.8175,206903.6429,252882.2302,122616.3279,81744.21859,139646.3734,126182.3652,84121.57681,143707.6937,38731.32754,30985.06203,188492.4607,38704.64203,30963.71363,188362.5912,2392533.594,1699958.08,2266610.773,2392533.594,1699958.08,2266610.773,2129239.565,2580574.432
21,8038103.917,4117077.616,6861796.027,8038103.917,4117077.616,6861796.027,25175094.37,17428911.48,21302002.92,25162448.95,17420156.96,21291302.96,10938567.62,7292378.415,12457813.13,10942133.66,7294755.774,12461874.45,119082.1928,95265.75427,579533.3385,119055.5073,95244.40586,579403.469,15563968.11,11058608.92,14744811.89,15563968.11,11058608.92,14744811.89,21185130.13,22275283.13
239,11933916,6112493.559,10187489.27,11933916,6112493.559,10187489.27,1270602.598,879647.9526,1075125.275,1283248.016,888402.4726,1085825.244,703638.5103,469092.3402,801366.0812,700072.473,466714.982,797304.7609,98788.64155,79030.91324,480771.3889,98761.95604,79009.56483,480641.5194,91698.68574,65154.32934,86872.43912,91698.68574,65154.32934,86872.43912,4669653.565,6295646.892
26,23700615.4,12139339.59,20232232.66,23700615.4,12139339.59,20232232.66,608330.3574,421151.7859,514741.0716,595684.9396,412397.2659,504041.1027,3842086.453,2561390.969,4375709.572,3845652.491,2563768.327,4379770.892,150778.3232,120622.6586,733787.8398,150751.6377,120601.3102,733657.9703,1419532.461,1008615.169,1344820.226,1419532.461,1008615.169,1344820.226,9951630.617,13171885.17
27,10040357.81,5142622.292,8571037.154,10040357.81,5142622.292,8571037.154,502052.2936,347574.6648,424813.4792,489406.8758,338820.1448,414113.5103,1507521.509,1005014.339,1716899.496,1511087.546,1007391.697,1720960.816,11219.26704,8975.413629,54600.43291,11192.58153,8954.065223,54470.56344,4032274.614,2865037.226,3820049.635,4032274.614,2865037.226,3820049.635,5446806.749,6809266.27
233,7734280.909,3961460.954,6602434.923,7734280.909,3961460.954,6602434.923,509498.7295,352729.8897,431114.3096,522144.1474,361484.4097,441814.2785,98912.21699,65941.47799,112650.0249,102478.2543,68318.83622,116711.3452,69691.72429,55753.37943,339166.3915,69665.03878,55732.03102,339036.5221,881904.8543,626616.607,835488.8094,881904.8543,626616.607,835488.8094,3084159.747,4141723.985
29,21138104.32,10826833.92,18044723.2,21138104.32,10826833.92,18044723.2,457207.9262,316528.5643,386868.2453,469853.344,325283.0843,397568.2142,81532.82369,54355.21579,92856.82698,85098.86103,56732.57402,96918.14728,190852.1842,152681.7473,928813.963,190825.4987,152660.3989,928684.0936,1374550.489,976654.2946,1302205.726,1374550.489,976654.2946,1302205.726,7660168.646,10540652.87
35,2967197.805,1519784.242,2532973.736,2967197.805,1519784.242,2532973.736,1973277.665,1366115.306,1669696.486,1985923.083,1374869.826,1680396.454,959789.2744,639859.5163,1093093.34,956223.2371,637482.1581,1089032.02,15594.32216,12475.45773,75892.36784,15567.63665,12454.10932,75762.49837,647071.0898,459761.0375,613014.7166,647071.0898,459761.0375,613014.7166,2250201.105,2656720.758
